Producto;Descripcion;Unidad;C. UNIT; C. UNIT.2 
602.02.976.3;GANASCIA MORSA MOBILE ALIM SH 33 1NC 50 COD : 007.4150;UND;1,286.83 ;1286.83
18.53.02.007;PALLET TRUCK 682 MM X 2400 MM - PU NYLON WHEEL;UND;1,292.82 ;1292.823333
13.55.01.575;ARRANCADOR DE ESTADO SÓLIDO 220VAC - 575VAC / SSW-07 / EXSSWO7 0017 T5SZ / WEG;UND;1,330.51 ;1330.51
15.80.18.903223;"VALVE, SOLENOID 1 1/2"" (903223)";UND;1,367.95 ;1367.9475
601.01.025;Separador Aceite 2180 2903 0351 01 (Atlas Copco GA22);UND;1,367.99 ;1367.99
625.01.50.1140.102;SENSOR DE DISTANCIA OPTICO O5D100 - O5DLCPKG/US, MARCA IFM,CONECTOR EVC001;UND;1,370.95 ;1370.95
20.90.52.003;LIFTINF AXLE BEARING W1200;UND;1,403.89 ;1403.8875
801.15.4028;CONJUNTO DE INTERUPTOR - 929625;UND;1,425.42 ;1425.42
20.90.21.001;IMPELLER HUB (202192);UND;1,455.54 ;1455.5375
13.03.10.002;INTERRUPTOR DE CONMUTACION ENGANCHE 500V 25A 8 (Off-FHI-Off-RHI - Off-RLOW-Off-FLOW);UND;1,501.50 ;1501.5
801.15.3998;KIT FILTER GX15-22 COD:2901086601;UND;1,528.17 ;1528.17
20.79.01.190.137;CLUCH D190 x 137;UND;1,578.45 ;1578.45
20.79.01.190.142;CLUCH D190 x 142;UND;1,578.45 ;1578.45
20.90.75.001;Electrical Voltage sensor  VM02;UND;1,605.31 ;1605.31
801.15.1722;Hydraulic piston model FA diameter 50X25ST;UND;1,617.99 ;1617.99
801.15.2167;"SIMATIC HMI, KTP400 BASIC, BASIC PANEL, KEY/TOUCH OPERATION, 4"" COD. 6AV2123-2DB03-0AX0";UND;1,680.08 ;1680.08
602.01.181;CASCADA POLARIDAD NEGATIVA GEMA;UND;1,773.11 ;1773.105
801.05.635;WATER TREATMENT KIT YE/MET 60,COD.18810083;UND;1,823.89 ;1823.89
20.10.04.012;ADAPTADOR PARA MATRIZ EN ESTACIÓN D EN TORRETA ALTA PARA ACEPTAR MATRIZ DE ESTACIÓN C TORRETA ALTA;UND;1,832.60 ;1832.6
604.01.155.01;CONTROLADOR DE MEMORIA RMG 88.G2C2 GAS  / 220 VAV - 60 HZ - SIEMENS;UND;1,852.56 ;1852.56
604.07.092;INTERRUPTOR TERMOMAGNETICO 3 X 400 AMP DE CAJA MOLDEADA;UND;1,888.00 ;1887.995
604.05.531;"DOBLE VALVE TOP AIR DVX-15,2694310-0543-AC220V-G 3/4""";UND;1,946.70 ;1946.703333
12.21.01.009;VIBRADORA GASOLINERA CON MAGUERA D 1 1/2;UND;1,957.49 ;1957.49
13.98.01.015;CENTRAL MUELLE HIDRA MOTOR 1 CV con valvula de CC. REF.;UND;2,169.91 ;2169.905
15.67.01.052;SENSOR LEUZE HT46;UND;2,254.96 ;2254.96
801.15.2168;SIMATIC S7-1200, CPU 1215C, COMPACT CPU, DC/DC/DC COD. 6ES7215-1AG40-0XB0;UND;2,258.32 ;2258.32
603.04.104.01;MOTORE P/P FL865TH156 - 5708 AL  (019 .3407 );UND;2,314.63 ;2314.63
602.02.976.2;GANASCIA MORSA FISSA ALIM SH 331 NC 50 COD: 007.4149;UND;2,382.43 ;2382.43
801.15.4958;ELEMENTO PARKER DOMINICK HUNTER K145 AA ;UND;2,455.57 ;2455.57
801.15.4957;ELEMENTO PARKER DOMINICK HUNTER K145 AO ;UND;2,455.57 ;2455.57
607.07.095;CABLE DE TEACH PENDANT 10M (CELDA ROBOTICA LINCOLN);UND;2,463.66 ;2463.655556
15.95.01.001;GRUPO NEUMÁTICO COMPLETO (GEMA – 1001 029);UND;2,474.26 ;2474.26
18.33.004.11;ALIMENTADOR ( FEEDER );UND;2,505.48 ;2505.48
13.98.01.050;CENTRAL MUELLE HIDRA MOTOR 1.5 CV con valvula de CC. REF.2658003;UND;2,709.79 ;2709.79
801.15.4956;ELEMENTO PARKER DOMINICK HUNT K145 ACS  ;UND;2,909.43 ;2909.43
20.90.73.001;Remote Controll Receiver  SESAM800;UND;3,057.87 ;3057.87
20.10.04.011;ADAPTADOR GUÍA DE PUNZÓN EN ESTACIÓN D PARA ACEPTAR GUÍA DE PUNZÓN ESTACIÓN C DE TORRETA ALTA;UND;3,065.44 ;3065.44
20.90.04.002;"BEARINGS 2"" SPHERICAL (349369)";UND;3,208.15 ;3208.1525
20.90.68.003;ENCODER HENGSTLER 0533086;UND;3,834.60 ;3834.6
21.86.01.001;ELECTRONIC CONTROL MODULE MANTAL MODELO XE 140W;UND;4,133.76 ;4133.755
603.01.1300;FAN AIR/OIL COOLER GA22 60 HZ/ 220 V (2203 0488 00);UND;4,147.57 ;4147.57036
A.33611.01.12.LEN-04;Lenovo ThinkCentre i7 Ultra 265;UND;4,470.49 ;4470.48504
28.03.20.411;SSD 128 GB - Codigo: 65686452;UND;4,794.60 ;4794.6
15.80.19.0002;ROLLERS (UPPER/LOWER) - ROLL DE VIGAS        ;UND;4,989.08 ;4989.078202
20.90.24.003;MOTOR - 2HP / 1760 RPM (300034);UND;5,019.10 ;5019.1
801.15.2151;"Double Sprockets (Rack line)
(DRAWING 3- 3EA, 4 - 3 EA";UND;5,155.47 ;5155.473333
601.01.1159;PLC MITSUBISHI ELECTRIC  FX3U- 16MR/DS;UND;5,319.44 ;5319.438
15.80.19.0022;RODILLOS DE VIGAS ESTACION 2 (SUPERIOR E INFERIOR), SCM415/KS, CROMO DURO;UND;6,127.69 ;6127.685455
801.15.1727;RACK ROLLER PART 14-1;UND;6,190.66 ;6190.66
801.15.1728;RACK ROLLER PART 15-1;UND;6,190.66 ;6190.66
801.15.1729;RACK ROLLER PART 16-1;UND;6,190.66 ;6190.66
15.80.19.0023;RODILLOS DE VIGAS ESTACION 3 (SUPERIOR E INFERIOR), SCM415/KS, CROMO DURO;UND;6,270.27 ;6270.270645
13.98.01.200;ANALISADOR O2 SENZTX-100 0-1000PPM 4-20MA ZIRCONIO;UND;6,274.17 ;6274.17
12.21.01.004;"Cortadora de piso (Dynamic). Modelo CC1218 capacidad disco 12""-18"". Motor Honda Gasolinero";UND;6,332.64 ;6332.64
801.15.3550;UNIDAD DE FRENO TRIFASICO 200V,55KW/75HP FR-BU2-55K;UND;6,805.47 ;6805.47
18.48.01.004;SPARED BATTERY WAP;UND;7,640.67 ;7640.66625
15.80.19.0017;RODILLOS DE POSTES ESTACION 15 (SUPERIOR E INFERIOR), SCM415/KS, CROMO DURO;UND;7,712.47 ;7712.467639
15.80.19.0018;RODILLOS DE POSTES ESTACION 16 (SUPERIOR E INFERIOR), SCM415/KS, CROMO DURO;UND;7,712.47 ;7712.467639
20.90.18.002;GEAR REDUCER 40 :1 (300050);UND;8,680.10 ;8680.1
12.45.04.005;Ultraform  D Station Louver continuos lower Insert - XAVDD0LL04;UND;9,956.50 ;9956.5
20.90.54.006;Driving Motor  Dunkermotoren;UND;10,162.48 ;10162.48
15.80.19.0015;RODILLOS DE POSTES ESTACION 13 (SUPERIOR E INFERIOR), SCM415/KS, CROMO DURO;UND;10,573.03 ;10573.03453
18.90.05.002;LITHIUM NMC 1100W  3000 cycles;UND;11,707.76 ;11707.75833
801.15.1626;SENSOR INSERT SE ProCutter F200 / P0595-59120;UND;12,021.70 ;12021.7
801.15.3868;Spare Batterie 48V/20Ah;UND;13,931.61 ;13931.61154
20.32.01.001;I pendant controlador;UND;19,128.41 ;19128.41
801.15.3062;VARIADOR DE FRECUENCIA 37KW, 200-240V TRIFASICOS, FR-A820-01870-E170 - MITSUBISHI;UND;25,085.29 ;25085.29
801.15.5122;CRANK SHAFT POS.19-N°P. S45C-MOD. BS-120;UND;27,877.84 ;27877.84
18.53.05.001;Pallet Runner Delux 1200W*1000 ( Shuttle car + remote control w18 tx + charger);UND;52,703.21 ;52703.20625
603.02.416.1;PROCUTTER 100/200 Q L_C8 / PQ0595 - 1052022;UND;57,810.03 ;57810.03
801.15.3866;Jay Whizz 1012, Radio Shuttle ;UND;87,865.78 ;87865.775
409.09.029;"PERNO CAB.  HEX. M14 X 1"" PASO 1.5  - FN GRA 5";UNID;6.36 ;6.355
409.12.1148.1;ESPARRAGO 3/8  X 1.0 MTR FN  GRADO 8;UNID;10.29 ;10.29
604.02.549;"DIAFRAGMA DE 1"" PARA BOMBA YAMADA - MODELO NDP-25";UNID;601.76 ;601.76
199.ENG.40.0028.0064;ENGRANE DE TIMON CORREDIZO ZINCADO;UNIDAD;0.00 ;0
604.04.076.4007;DIODO RECTIFICADOR 1N4007;UNIDAD;0.09 ;0.085
604.05.506;TERMINAL TUBULAR CON AISLAMIENTO KS1/0.5-1/CON PIN;UNIDAD;0.26 ;0.25635
603.02.251.20;POTENCIOMETRO B DE 12 KILO OHMIOS;UNIDAD;0.51 ;0.508
15.90.09.002;MANGUITO D EMPALME VSTN /1.5 - 2.5 /WEIDMULLER;UNIDAD;1.39 ;1.394592593
14.07.10.014;"CONECTOR CONDUIT IMC 3/4""";UNIDAD;2.60 ;2.6
604.05.069.001;"caja tipo LB conduit de 1 1/2""";UNIDAD;15.32 ;15.32
15.47.06.007;Reten de cuerpo metalico  D int 35mm - Dext 55 - Altura 8mm;UNIDAD;46.20 ;46.2
603.02.411.500;TENAZA DE TIERRA 500A;UNIDAD;78.98 ;78.982
409.18.753.2;Reten Radial en Viton 65x82x12;UNIDAD;101.59 ;101.5925
13.03.05.018;Interruptor termomagnetico de 3x4A/220 VAC/DIN Schneider Electric;UNIDAD;164.44 ;164.44
20.96.01.002;"VALVULA DE SEGURIDAD 150 PSI - 1/2"" / NPT SRV530-1/2-150.";UNIDAD;184.69 ;184.6876952
14.25.01.10.017;Regulador Baja Presión In1”/Out1”/1.4 bar/6”-15” W.C./ Flow 14.2 m3/h/Posición D;UNIDAD;500.43 ;500.425
13.31.01.050.220.002;VARIADOR DELTA 5HP /220V/ MOD VFD037C23A;UNIDAD;1,493.71 ;1493.71
20.10.04.002;ULTRAFORM ESTACIÓN B SNAPLOCK ENSAMBLE COMPLETO INCLUYE PORTA / PARTE SUPERIOR / PARTE INFERIOR.;UNIDAD;5,997.01 ;5997.01
